time_ms,B102NO2,B302C2H5OH,B502VOC,B702CO,TdegC,RH
10,726,642,545,209,25,34
11,725,642,545,209,25,34
11,727,642,545,209,25,34
12,727,642,545,210,25,34
12,727,642,544,210,25,34
12,726,642,545,209,25,34
13,725,642,545,209,25,34
13,727,642,545,209,25,34
953,725,642,545,210,25,35
1084,726,642,544,210,25,35
1215,726,642,544,210,25,35
1347,726,642,545,209,25,35
1478,726,642,545,210,25,35
1609,726,642,544,210,25,35
1740,726,642,545,210,25,35
1871,725,642,544,209,25,35
2002,726,642,545,209,25,35
2133,726,641,545,209,25,34
2264,726,642,545,209,25,34
2395,726,642,544,209,25,34
2526,726,641,545,210,25,34
2657,726,641,544,210,25,34
2788,726,642,544,209,25,34
2919,726,642,544,209,25,34
3050,726,641,545,210,25,34
3181,726,641,544,209,25,34
3312,726,641,545,210,25,34
3444,726,642,544,209,25,34
3575,726,641,545,209,25,34
3706,726,641,544,210,25,34
3837,726,641,544,210,25,34
3968,726,642,545,209,25,34
4099,725,641,544,210,25,34
4230,726,641,544,210,25,34
4361,725,641,544,209,25,34
4492,726,641,544,209,25,35
4623,726,641,544,209,25,35
4754,726,641,544,209,25,35
4885,725,641,544,208,25,35
5016,726,641,544,209,25,35
5147,725,641,544,209,25,35
5279,726,641,544,208,25,35
5410,725,641,544,209,25,35
5541,725,641,544,209,25,35
5672,726,640,544,209,25,34
5803,725,641,544,209,25,34
5934,725,641,544,209,25,34
6065,726,641,543,208,25,34
6196,726,641,544,208,25,34
6327,726,641,544,208,25,34
6458,725,640,543,209,25,34
6589,726,640,544,209,25,34
6716,725,640,544,209,25,34
6851,726,640,543,209,25,34
6982,725,641,544,208,25,34
7113,726,641,543,209,25,34
7245,725,640,544,209,25,34
7375,725,640,544,209,25,34
7507,725,641,543,208,25,34
7638,726,640,544,209,25,34
7765,725,640,543,208,25,34
7896,725,640,544,208,25,34
8031,726,641,544,209,25,34
8162,726,640,544,209,25,34
8293,726,639,543,209,25,34
8424,725,640,543,209,25,34
8555,725,640,544,209,25,34
8686,725,640,544,209,25,34
8817,725,640,543,209,25,34
8944,726,640,543,208,25,34
9075,726,639,544,209,25,34
9211,725,640,544,209,25,34
9342,724,640,544,209,25,34
9473,725,640,544,209,25,34
9604,725,640,544,208,25,34
9735,725,640,543,209,25,34
9866,725,639,544,208,25,34
9997,724,639,544,209,25,34
10124,725,640,544,209,25,34
10255,725,640,544,209,25,34
10390,724,640,543,208,25,34
10521,725,639,543,208,25,34
10652,725,640,542,209,25,34
10783,725,640,542,209,25,34
10914,725,640,544,209,25,34
11045,726,640,544,209,25,34
11173,725,640,544,209,25,34
11304,725,640,543,208,25,34
11435,724,639,543,209,25,34
11570,725,640,544,209,25,34
11701,725,640,542,208,25,34
11832,725,640,543,208,25,34
11963,725,640,543,208,25,34
12094,726,639,542,209,25,34
12225,725,640,542,209,25,34
12352,725,639,542,209,25,34
12483,724,639,543,208,25,34
12614,724,639,543,208,25,34
12749,725,639,543,209,25,34
12880,724,639,543,208,25,34
13011,725,639,543,208,25,34
13142,724,639,543,209,25,34
13274,725,640,542,208,25,34
13401,725,639,543,209,25,34
13532,725,639,542,208,25,34
13663,724,639,542,209,25,34
13794,725,640,543,209,25,34
13929,725,640,543,209,25,34
14060,725,640,543,208,25,34
14191,726,639,543,209,25,34
14322,725,640,543,208,25,34
14453,725,640,543,209,25,34
14580,725,640,542,209,25,34
14711,725,639,542,208,25,34
14842,725,638,542,209,25,34
14973,725,640,542,209,25,34
15108,725,639,542,208,25,34
15240,725,639,542,209,25,34
15371,725,639,543,208,25,34
15502,725,639,542,209,25,34
15629,724,639,543,209,25,34
15760,724,639,543,209,25,34
15891,725,639,542,209,25,34
16022,725,639,542,209,25,34
16153,725,639,543,208,25,34
