time_ms,B102NO2,B302C2H5OH,B502VOC,B702CO,TdegC,RH
29973,768,692,556,216,25,34
30104,769,693,555,216,25,34
30231,769,692,556,216,25,34
30362,768,693,555,216,25,34
30493,768,693,555,215,25,34
30628,767,693,555,216,25,34
30759,768,692,556,216,25,34
30890,769,693,555,215,25,34
31022,769,692,555,215,25,34
31153,768,692,556,215,25,34
31280,768,692,556,216,25,34
31411,768,692,555,214,25,34
31542,768,693,556,215,25,34
31673,769,693,556,216,25,34
31808,769,693,555,215,25,34
31939,769,693,555,215,25,34
32070,769,692,555,215,25,34
32201,769,693,554,216,25,34
32328,768,693,556,216,25,34
32459,768,692,555,216,25,34
32590,769,693,555,216,25,34
32721,768,693,555,215,25,34
32852,768,693,555,216,25,34
32988,769,693,555,215,25,34
33119,768,692,556,215,25,34
33250,768,692,555,216,25,34
33381,768,692,555,215,25,34
33508,769,693,555,215,25,34
33639,769,693,555,216,25,34
33770,768,693,555,216,25,34
33901,769,692,555,215,25,34
34032,769,693,554,215,25,34
34167,769,693,556,216,25,34
34298,768,693,555,216,25,34
34429,769,692,555,216,25,34
34560,769,692,555,215,25,34
34687,769,693,555,215,25,34
34818,769,693,555,216,25,34
34949,768,693,555,215,25,34
35080,769,693,556,216,25,34
35212,769,693,556,215,25,34
35347,768,693,555,216,25,34
35478,769,693,556,215,25,34
35609,769,693,555,216,25,34
35736,768,693,556,216,25,34
35867,768,693,555,215,25,34
35998,769,693,556,216,25,34
36129,769,693,556,216,25,34
36260,769,693,555,215,25,34
36391,769,693,555,215,25,34
36526,769,693,556,215,25,34
36657,769,693,555,216,25,34
36788,768,693,556,216,25,34
36915,768,693,556,215,25,34
37046,768,693,556,215,25,34
37178,769,693,556,215,25,34
37309,769,693,555,215,25,34
37440,768,693,556,216,25,34
37571,768,693,556,216,25,34
37706,769,694,555,216,25,34
37837,769,693,556,215,25,34
37964,769,693,556,216,25,34
38095,768,692,555,215,25,34
38226,769,693,556,216,25,34
38357,769,692,556,215,25,34
38488,769,693,555,214,25,34
38619,769,692,556,215,25,34
38750,769,692,556,215,25,34
38885,768,692,555,215,25,34
39017,769,693,556,216,25,34
39144,769,693,555,214,25,34
39275,768,693,555,215,25,34
39406,769,692,555,215,25,34
39537,769,693,556,215,25,34
39668,769,692,556,215,25,34
39799,769,693,556,215,25,34
39930,768,693,555,215,25,34
40065,768,693,555,215,25,34
40196,768,693,556,216,25,34
40323,769,693,556,215,25,34
40454,769,693,555,216,25,34
40585,769,692,555,215,25,34
40716,769,692,556,216,25,34
40847,768,692,555,215,25,34
40979,769,693,556,215,25,34
41110,768,693,555,215,25,34
41245,769,693,556,215,25,34
41372,768,693,556,216,25,34
41503,769,693,555,216,25,34
41634,769,692,556,215,25,34
41765,768,692,556,215,25,34
41896,768,693,555,215,25,34
42027,768,693,556,215,25,34
42158,769,693,556,216,25,34
42289,769,692,554,215,25,34
42424,769,693,555,215,25,34
42551,769,693,555,215,25,34
42682,769,693,556,216,25,34
42813,769,692,555,216,25,34
42945,768,693,555,214,25,34
43076,769,692,555,215,25,34
43207,769,692,555,215,25,34
43338,768,692,555,215,25,34
43469,769,693,556,215,25,34
43600,768,693,556,215,25,34
43731,768,693,556,215,25,34
43862,768,692,555,215,25,34
43993,768,693,555,215,25,34
44124,769,693,555,215,25,34
44255,769,693,555,215,25,34
44386,769,693,556,215,25,34
44517,769,693,555,215,25,34
44648,769,693,555,215,25,34
44779,769,692,556,215,25,34
44910,768,693,554,215,25,34
45041,768,693,555,215,25,34
45173,769,693,555,215,25,34
45304,768,692,554,215,25,34
45435,769,693,555,215,25,34
45566,768,693,555,215,25,34
45697,768,693,555,215,25,34
45828,768,692,555,215,25,34
45959,769,693,555,215,25,34
46090,768,693,556,215,25,34
46221,769,692,555,215,25,34
