time_ms,B102NO2,B302C2H5OH,B502VOC,B702CO,TdegC,RH
27948,504,129,463,273,25,34
28083,504,129,464,272,25,34
28214,504,129,464,273,25,34
28345,505,130,463,273,25,34
28476,505,129,464,273,25,34
28607,505,129,463,272,25,34
28734,505,130,464,274,25,34
28865,505,129,464,273,25,34
28996,505,129,464,273,25,34
29127,504,129,464,274,25,34
29262,504,129,463,273,25,34
29393,504,130,464,273,25,34
29525,504,129,464,273,25,34
29656,505,129,463,273,25,34
29787,505,129,463,273,25,34
29914,505,129,464,273,25,34
30045,504,130,463,273,25,34
30176,505,129,463,273,25,34
30307,504,129,463,273,25,34
30442,505,129,463,273,25,34
30573,504,130,463,274,25,34
30704,504,129,463,273,25,34
30835,505,129,463,273,25,34
30962,504,129,463,274,25,34
31093,504,129,462,273,25,34
31224,505,129,464,274,25,34
31355,504,129,463,273,25,34
31487,504,129,463,273,25,34
31622,505,129,463,273,25,34
31753,504,129,462,273,25,34
31884,504,129,464,274,25,34
32011,505,130,462,274,25,34
32142,504,129,463,274,25,34
32273,505,129,463,274,25,34
32404,504,129,463,274,25,34
32535,505,129,463,273,25,34
32666,504,129,463,273,25,34
32801,504,129,463,273,25,34
32932,504,129,462,274,25,34
33063,505,129,463,274,25,34
33190,504,129,463,273,25,34
33322,505,129,463,273,25,34
33452,503,129,463,273,25,34
33583,504,129,463,273,25,34
33715,504,129,462,274,25,34
33846,504,129,463,273,25,34
33981,504,129,463,274,25,34
34116,504,130,463,274,25,34
34243,504,128,463,273,25,34
34370,504,129,463,274,25,34
34501,504,129,463,274,25,34
34632,504,129,463,274,25,34
34763,504,129,463,274,25,34
34894,504,129,464,274,25,34
35025,504,129,463,274,25,34
35160,504,129,463,274,25,34
35291,504,129,463,274,25,34
35419,504,129,463,274,25,34
35550,503,129,463,274,25,34
35681,504,129,463,274,25,34
35812,504,129,462,275,25,34
35943,504,129,463,274,25,34
36074,503,129,462,274,25,34
36205,504,129,462,274,25,34
36340,504,129,462,274,25,34
36471,504,129,463,274,25,34
36598,504,129,463,274,25,34
36729,504,129,463,275,25,34
36860,504,129,463,275,25,34
36991,504,129,463,275,25,34
37122,504,129,463,275,25,34
