time_ms,B102NO2,B302C2H5OH,B502VOC,B702CO,TdegC,RH,label,add_label,condition
22843,85,51,197,229,23,53,beer,1pilsner,roomjose
23072,85,51,197,233,23,53,beer,1pilsner,roomjose
23305,85,51,197,238,23,53,beer,1pilsner,roomjose
23539,85,52,197,241,23,53,beer,1pilsner,roomjose
23768,86,52,197,244,23,53,beer,1pilsner,roomjose
23998,85,52,198,248,23,53,beer,1pilsner,roomjose
24231,86,52,198,253,23,53,beer,1pilsner,roomjose
24460,86,52,199,257,23,53,beer,1pilsner,roomjose
24694,86,52,199,262,23,53,beer,1pilsner,roomjose
24927,86,51,198,267,23,53,beer,1pilsner,roomjose
25157,87,51,199,272,23,53,beer,1pilsner,roomjose
25386,86,52,198,274,23,53,beer,1pilsner,roomjose
25616,86,52,199,279,23,53,beer,1pilsner,roomjose
25853,87,52,199,283,22,53,beer,1pilsner,roomjose
26083,87,52,199,285,22,53,beer,1pilsner,roomjose
26312,87,52,200,289,22,53,beer,1pilsner,roomjose
26546,87,52,200,290,22,53,beer,1pilsner,roomjose
26775,87,52,200,292,22,53,beer,1pilsner,roomjose
27008,88,52,201,294,23,53,beer,1pilsner,roomjose
27237,88,52,201,298,23,53,beer,1pilsner,roomjose
27471,87,53,202,299,23,53,beer,1pilsner,roomjose
27700,87,53,202,302,23,53,beer,1pilsner,roomjose
27930,88,53,202,302,23,53,beer,1pilsner,roomjose
28163,89,52,202,302,23,53,beer,1pilsner,roomjose
28396,88,53,201,302,23,53,beer,1pilsner,roomjose
28626,88,53,202,302,23,53,beer,1pilsner,roomjose
28856,89,52,201,302,23,53,beer,1pilsner,roomjose
29089,89,52,202,301,23,53,beer,1pilsner,roomjose
29322,88,52,201,296,23,53,beer,1pilsner,roomjose
29552,88,52,201,293,23,53,beer,1pilsner,roomjose
29781,88,52,201,287,23,53,beer,1pilsner,roomjose
30014,88,52,200,281,23,53,beer,1pilsner,roomjose
30244,88,52,199,273,23,53,beer,1pilsner,roomjose
30478,88,52,199,265,23,53,beer,1pilsner,roomjose
30711,87,52,199,262,23,53,beer,1pilsner,roomjose
30940,87,52,199,257,23,53,beer,1pilsner,roomjose
31170,87,52,198,255,23,53,beer,1pilsner,roomjose
